location,AccHalfAng__DEG,RCR,CR,r_a__m,rr_g,rr_ut,rt_g,rgap,length__m,beta__DEG,T_in__K,intensity__Wh__m2,datetime__now
PHOENIX SKY HARBOR INTL AP,70,0.998894749372677,1.09037721623282,0.03,1.1,0.1,0.2,0.1,1,33.45,400,766970.317502764,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372677,1.09037721623282,0.03,1.1,0.2,0.2,0.1,1,33.45,400,766971.669626776,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372677,1.09037721623282,0.03,1.1,0.3,0.2,0.1,1,33.45,400,766971.669626778,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372677,1.09037721623282,0.03,1.1,0.1,0.2,0.1,1.5,33.45,400,815120.490829308,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372677,1.09037721623282,0.03,1.1,0.2,0.2,0.1,1.5,33.45,400,815121.513586137,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372677,1.09037721623282,0.03,1.1,0.3,0.2,0.1,1.5,33.45,400,815121.513586139,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372677,1.09037721623282,0.03,1.1,0.1,0.2,0.1,2,33.45,400,911994.500178261,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372677,1.09037721623282,0.03,1.1,0.2,0.2,0.1,2,33.45,400,843745.167843596,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372677,1.09037721623282,0.03,1.1,0.3,0.2,0.1,2,33.45,400,843745.167843604,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372679,1.09037721623282,0.04,1.1,0.1,0.2,0.1,1,33.45,400,769661.781006173,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372679,1.09037721623282,0.04,1.1,0.2,0.2,0.1,1,33.45,400,769663.233624993,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372679,1.09037721623282,0.04,1.1,0.3,0.2,0.1,1,33.45,400,769663.233624996,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372679,1.09037721623282,0.04,1.1,0.1,0.2,0.1,1.5,33.45,400,819435.127680074,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372679,1.09037721623282,0.04,1.1,0.2,0.2,0.1,1.5,33.45,400,819436.264064851,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372679,1.09037721623282,0.04,1.1,0.3,0.2,0.1,1.5,33.45,400,819436.264064851,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372679,1.09037721623282,0.04,1.1,0.1,0.2,0.1,2,33.45,400,927011.785601105,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372679,1.09037721623282,0.04,1.1,0.2,0.2,0.1,2,33.45,400,848997.420291918,736077.108398229
PHOENIX SKY HARBOR INTL AP,70,0.998894749372679,1.09037721623282,0.04,1.1,0.3,0.2,0.1,2,33.45,400,848997.420291915,736077.108398229
