location,AccHalfAng__DEG,RCR,CR,r_a__m,rr_g,rr_ut,rt_g,rgap,length__m,beta__DEG,T_in__K,intensity__Wh__m2,datetime__now
PHOENIX SKY HARBOR INTL AP,60.385553187241,0.999999731542561,1.3838888788405,0.0433737005233422,1.94575578254576,0.200002732878198,0.200000826518835,8.25266933530533e-09,2,32.2800442948242,533,465254.021178427,736082.746238032
INDIANAPOLIS INTL AP,69.0001096411078,0.750009981859177,1.18536682723602,0.0499999999229371,1.8015903685371,0.200000391030978,0.200000099562415,3.97453300316033e-09,2,31.2490347926262,493,322693.650528051,736082.745073437
ATLANTA HARTSFIELD INTL AP,33.5197385420202,0.999997618764739,2.30694755322172,0.0499999980521801,1.99999415130185,0.200006772728976,0.200000700739244,0.199999931466456,2,36.2094964965884,573,212189.802751845,736082.744150069
LOS ANGELES INTL ARPT,53.4882926264889,0.500009998378165,1.20770806039649,0.0499999997425168,1.69934874707916,0.200000019289932,0.200000005772576,6.36590211082295e-09,2,29.0855375945813,493,456520.442887724,736082.743692176
PHOENIX SKY HARBOR INTL AP,63.696537841362,0.750009990008521,1.20391898586133,0.0499999711387877,1.70935950992036,0.200000067411144,0.200000023023012,1.16033128521673e-05,2,31.5062521138072,513,564735.391227908,736082.739870891
ATLANTA HARTSFIELD INTL AP,55.7639975369969,0.999997654220626,1.54095965513529,0.0499999999573155,1.99999516883339,0.200006761261695,0.200000699300571,0.199999933441283,2,23.4657581453306,573,207489.54175913,736082.737285509
LOS ANGELES INTL ARPT,53.2830613938787,0.50007207700241,1.21097114423129,0.049999999742519,1.70775180019735,0.200000019290282,0.200000005772587,6.36401418822563e-09,2,29.1264854844032,493,456432.572519702,736082.736265544
INDIANAPOLIS INTL AP,69.0317808705749,0.750037328897643,1.18456526791413,0.0499999999998386,1.79872098785261,0.200000512786087,0.200000129798261,3.03447717190771e-09,2,31.3120450314698,493,322646.482637435,736082.735997593
PHOENIX SKY HARBOR INTL AP,63.6166618226279,0.75003286650439,1.2050642746735,0.0499999711346895,1.71158095210582,0.200000067418165,0.200000023025568,1.16052380600013e-05,2,31.5009733817124,513,564683.440871328,736082.733131632
ATLANTA HARTSFIELD INTL AP,51.01712181112,0.642349162280472,1.35203434793635,0.0499999995584752,1.94661136094699,0.20000005124785,0.200000697602891,4.02998070855912e-09,2,29.9217985118517,553,251639.622962114,736082.730348912
LOS ANGELES INTL ARPT,59.9989675262465,0.503385451765791,1.15653722544682,0.0399892383854647,1.69014499001895,0.200002270648312,0.200000536865617,0.000282968475089226,2,31.2917228177613,493,409976.839611259,736082.727688588
INDIANAPOLIS INTL AP,58.952567482667,0.750000658044485,1.29344786257204,0.040000869725683,1.90472527528432,0.200003980760602,0.200001152041381,1.34289915253567e-07,2,32.1311725542121,493,281362.732974776,736082.727086435
PHOENIX SKY HARBOR INTL AP,68.7736655025358,0.750009998312505,1.16394158059517,0.0499999962435907,1.68882392790637,0.200000257673591,0.200000094853663,0.00391526080223217,2,28.7497379969355,493,633474.239398964,736082.725972025
ATLANTA HARTSFIELD INTL AP,63.1080276177129,0.755459604301231,1.27214355556072,0.0499999995491605,1.98236375354459,0.200000051280614,0.200000706523697,4.01327556711942e-09,2,30.4112327047135,553,247122.97793885,736082.723456516
PHOENIX SKY HARBOR INTL AP,68.7736729518163,0.750009552128572,1.16394145398253,0.0499999962435778,1.68882401048693,0.200000257673593,0.200000094853663,0.00391526082613261,2,28.7497332337928,493,633472.093141153,736082.72292478
LOS ANGELES INTL ARPT,61.9561069641974,0.500009992776397,1.1313663471056,0.0499999997118358,1.60802191623997,0.200000013080286,0.200000005612485,5.01994560503365e-06,2,29.3243867956223,473,519798.447239473,736082.718633403
INDIANAPOLIS INTL AP,56.999965912116,0.500009986136269,1.17821889613401,0.0498936849414409,1.69928914002132,0.200000019706224,0.200000007341103,6.1602652359949e-07,2,31.7971234552899,473,368189.805531672,736082.717631852
ATLANTA HARTSFIELD INTL AP,61.9998938796949,0.750009977878626,1.27647416711391,0.049999985993844,1.96517864314226,0.200000025196507,0.200000003067366,1.83958438338344e-07,2,29.810615347571,533,297712.627570846,736082.715837674
LOS ANGELES INTL ARPT,61.9561012593264,0.50000958999485,1.13136627406665,0.0499999997118362,1.60802191124734,0.200000013080267,0.200000005612476,5.01994542801281e-06,2,29.3243900214122,473,519796.842362631,736082.714246424
PHOENIX SKY HARBOR INTL AP,64.9924820752749,0.725949825342858,1.17957079952489,0.0499999953572646,1.66714430198081,0.200000271008477,0.200000099810527,0.00413994046793247,2,31.9803836823073,493,631194.593741481,736082.713904988
INDIANAPOLIS INTL AP,56.9999129245159,0.500006892478375,1.17821819526509,0.0498936849311799,1.69928910403304,0.200000019706037,0.200000007341036,6.16026456716169e-07,2,31.7971443838506,473,368180.701795447,736082.711913449
ATLANTA HARTSFIELD INTL AP,62.0115080902213,0.748898562193975,1.27606327186536,0.0499999668160119,1.96564883409889,0.200000005919283,0.200000613488913,5.12272011309766e-08,2,29.8145620826118,533,297604.142609002,736082.70743853
PHOENIX SKY HARBOR INTL AP,68.00284184926,0.500009986332438,1.08737591146616,0.0499999965414897,1.50432601745036,0.200000022653854,0.200000017213605,0.000173116951548192,2,29.5139852500126,473,707361.320240796,736082.7069889
LOS ANGELES INTL ARPT,60.0041570271235,0.498407593144727,1.16056209482017,0.0499999999759678,1.63521325533124,0.200000246719685,0.200000106179814,0.0929575898756834,2,28.6524304644412,473,510327.539533777,736082.705069225
INDIANAPOLIS INTL AP,56.8235665295244,0.499841925838424,1.17821642719674,0.0499181334839725,1.69079313193802,0.20000001962875,0.200000007357949,2.39367679655299e-07,2,29.9186626100105,473,367859.092376532,736082.701196308
ATLANTA HARTSFIELD INTL AP,62.000014909596,0.750009992157462,1.2777876209594,0.0491896686988667,1.97081996222258,0.200003226212266,0.200000500460175,3.91067582771271e-06,2,29.1335338885265,513,344422.064653328,736082.699806748
PHOENIX SKY HARBOR INTL AP,68.0172117057341,0.501784190792563,1.08928672024765,0.0499999965409951,1.51718560091868,0.200000022655475,0.200000017215044,0.000173275981128794,2,29.4919362822983,473,707221.131880848,736082.698349664
LOS ANGELES INTL ARPT,62.0195676157791,0.50000999114388,1.12436048863222,0.0499999999640835,1.56056416506548,0.200000002086751,0.200000001336379,8.73647334110827e-07,2,28.6294697006994,453,585019.03765997,736082.693635706
